id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
411,3,3,5,3,4,5,5,5,6,6,5,5,6,Pública
412,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
413,4,4,3,2,3,4,3,3,3,4,4,4,2,Pública
414,4,4,2,4,1,5,2,5,3,6,6,6,6,Pública
415,1,1,4,1,1,5,3,4,4,5,3,3,3,Pública
416,4,4,5,6,5,4,4,6,5,6,5,5,6,Pública
417,6,2,6,6,6,6,6,6,4,6,6,6,6,Pública
418,1,6,4,5,1,5,1,5,1,5,2,6,5,Pública
419,6,NA,6,6,5,5,5,6,6,6,6,6,6,Pública
420,1,1,5,5,1,3,3,5,6,4,5,5,5,Pública
421,5,5,6,4,4,6,5,5,5,4,4,4,5,Pública
422,6,6,6,5,6,6,6,6,6,6,6,6,6,Pública
423,6,6,6,6,6,6,6,6,6,6,1,6,6,Pública
424,1,1,3,4,3,6,6,3,2,6,3,6,6,Pública
425,5,4,6,6,6,6,6,6,5,6,5,6,6,Pública
426,4,4,4,4,4,4,4,4,4,4,4,4,4,Pública
427,5,5,5,5,5,5,4,5,6,6,5,5,6,Pública
428,4,4,4,4,4,4,4,4,4,4,4,4,4,Pública
429,5,3,3,2,3,6,5,5,6,6,6,6,6,Pública
430,3,5,4,2,4,5,5,5,5,6,6,6,6,Pública
431,NA,1,4,NA,NA,3,1,4,1,5,3,4,5,Pública
432,2,1,6,5,4,4,4,5,6,6,4,5,4,Pública
433,NA,3,6,3,3,NA,2,5,5,6,6,4,4,Pública
435,6,6,6,6,6,6,5,6,6,6,6,6,6,Pública
436,6,NA,4,6,4,4,5,4,6,5,4,4,4,Pública
437,1,1,5,4,4,5,5,5,4,6,6,5,5,Pública
438,NA,NA,5,NA,3,5,4,5,5,6,5,5,4,Pública
439,3,3,6,2,2,3,3,6,6,5,4,6,5,Pública
440,6,6,6,6,6,6,4,6,6,6,6,6,6,Pública
441,1,4,1,1,4,4,3,5,3,6,5,6,6,Pública
442,6,NA,6,6,NA,6,6,6,6,6,6,6,6,Pública
443,5,4,5,5,5,5,6,4,5,5,5,5,4,Pública
444,5,6,3,4,6,6,5,5,4,6,6,5,5,Pública
446,6,6,6,6,5,6,6,5,4,6,6,5,5,Pública
447,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
449,5,5,5,5,5,5,6,4,5,6,6,6,6,Pública
450,5,5,4,4,5,5,4,4,4,5,3,5,3,Pública
451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
453,3,3,2,3,4,2,3,NA,3,3,2,NA,2,Pública
454,6,4,6,5,6,6,6,6,6,6,5,5,5,Pública
458,3,1,5,3,4,3,5,4,5,3,3,3,4,Pública
459,5,5,3,5,5,5,5,5,5,5,5,5,5,Pública
460,3,NA,3,4,6,6,5,5,3,5,4,5,5,Pública
461,4,4,4,4,4,5,4,4,4,5,4,5,4,Pública
462,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
463,4,2,3,2,5,3,4,4,3,6,5,4,5,Pública
464,4,5,6,4,6,6,6,6,5,6,5,6,5,Pública
465,6,6,4,1,6,6,6,5,4,5,4,4,5,Pública
466,6,5,6,1,4,6,6,6,6,5,4,6,5,Pública
467,5,6,3,6,6,4,3,3,6,6,3,3,NA,Pública
469,6,6,4,3,5,5,5,5,5,4,4,5,4,Pública
470,3,3,3,3,3,3,3,3,3,3,3,3,3,Pública
471,6,6,4,2,1,5,3,1,4,4,4,3,2,Pública
475,3,3,6,4,4,5,3,6,6,3,4,5,5,Pública
476,4,4,6,4,6,5,5,6,6,6,5,6,5,Pública
479,3,3,4,NA,5,4,4,3,3,6,4,4,5,Pública
484,4,3,3,3,5,4,4,4,4,4,4,6,6,Pública
486,NA,5,NA,2,4,4,3,5,5,6,4,2,2,Pública
488,4,3,NA,2,4,5,6,4,NA,6,4,6,4,Pública
489,6,2,6,6,6,6,6,4,4,6,6,5,5,Pública
490,4,4,4,4,4,4,3,2,6,4,6,4,4,Pública
492,5,3,5,6,5,5,4,4,6,6,4,4,6,Pública
493,4,4,3,4,5,5,5,5,5,5,5,5,5,Pública
495,6,5,4,NA,6,6,6,6,6,6,6,6,6,Pública
497,3,4,3,2,3,4,4,5,3,4,4,3,4,Pública
498,6,4,5,6,6,6,5,6,6,6,6,6,6,Pública
499,1,NA,NA,2,4,5,5,6,4,6,4,6,6,Pública
501,5,3,6,5,5,6,5,5,6,6,6,6,6,Pública
502,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
503,4,4,4,4,4,4,5,5,4,5,5,5,5,Pública
505,6,NA,4,6,4,6,5,5,6,6,5,6,5,Pública
506,3,NA,5,3,3,5,2,4,5,5,3,3,4,Pública
507,4,5,6,4,5,6,4,4,5,5,5,5,6,Pública
508,5,5,4,5,5,5,5,5,5,6,6,6,6,Pública
509,1,6,2,3,5,5,1,4,5,5,2,4,5,Pública
510,4,NA,6,5,6,6,5,4,6,6,6,6,5,Pública
512,3,4,4,5,5,4,NA,4,5,4,3,4,NA,Pública
518,6,NA,5,3,3,6,6,NA,6,6,6,5,3,Pública
519,4,3,5,1,3,5,6,6,4,6,5,6,5,Pública
